日期,daily risk free rate
2014-07-07,7.970913332555618e-05
2014-07-08,8.770823277504114e-05
2014-07-09,9.030757324124394e-05
2014-07-10,8.895516213192067e-05
2014-07-11,8.855726743495218e-05
2014-07-14,8.776130512866409e-05
2014-07-15,8.677930059852734e-05
2014-07-16,8.755431715212758e-05
2014-07-17,8.753574054565227e-05
2014-07-18,8.749593310852788e-05
2014-07-21,8.943255971805009e-05
2014-07-22,8.770823277504114e-05
2014-07-23,8.882253696884668e-05
2014-07-24,8.929995759809906e-05
2014-07-25,9.022803807168245e-05
2014-07-28,8.90612576534e-05
2014-07-29,8.763658347166192e-05
2014-07-30,8.763392975774664e-05
2014-07-31,8.640763976930366e-05
2014-08-01,8.619523957786868e-05
2014-08-04,8.582349972718895e-05
2014-08-05,8.484080222070922e-05
2014-08-06,8.234263744411052e-05
2014-08-07,8.205015049922437e-05
2014-08-08,8.101290036033326e-05
2014-08-11,7.978897357907577e-05
2014-08-12,7.87508692683403e-05
2014-08-13,7.811184083328371e-05
2014-08-14,7.800532164226048e-05
2014-08-15,7.803195182720657e-05
2014-08-18,7.720629604812679e-05
2014-08-19,7.659355235101195e-05
2014-08-20,7.654026383163703e-05
2014-08-21,7.693990253598848e-05
2014-08-22,7.680669609344548e-05
2014-08-25,7.675341170787497e-05
2014-08-26,7.627380573027587e-05
2014-08-27,7.728620906521932e-05
2014-08-28,7.76857392890129e-05
2014-08-29,7.853787630396347e-05
2014-09-01,7.848462548287749e-05
2014-09-02,7.691326176417768e-05
2014-09-03,7.63004527033484e-05
2014-09-04,7.606062064158259e-05
2014-09-05,7.584741900967806e-05
2014-09-09,7.608726968233448e-05
2014-09-10,7.670012628913092e-05
2014-09-11,7.723293397865483e-05
2014-09-12,7.707310252080823e-05
2014-09-15,7.70198233017716e-05
2014-09-16,7.707310252080823e-05
2014-09-17,7.691326176417768e-05
2014-09-18,7.675341170787497e-05
2014-09-19,7.672676912773291e-05
2014-09-22,7.558089370207632e-05
